URL,Último rastreamento
https://templum.com.br/diagnostico-iso-9001/?PageSpeed=noscript,2026-02-16
https://templum.com.br/wp-admin/admin-ajax.php,2026-02-16
https://templum.com.br/auditores/beatriz-c-s-gouvea/,2026-02-16
https://templum.com.br/migracao-pbqp-h/?utm_source=blog&utm_medium=menu-navegacao,2026-02-15
https://templum.com.br/wp-content/themes/enfold/,2026-02-14
https://templum.com.br/wp-content/themes/enfold/framework/,2026-02-14
https://templum.com.br/webinars/,2026-02-14
https://templum.com.br/ab/pbap-h-antiga,2026-02-14
https://templum.com.br/sassmaq-consultoria-completa/?s,2026-02-13
https://templum.com.br/iso-14001-consultoria-completa/?PageSpeed=noscript,2026-02-12
https://templum.com.br/wp-admin,2026-02-12
https://templum.com.br/sobre?wordfence_lh=1&hid=7A9F0C3C6CD05BB3CA37A72641AA5C74,2026-02-12
https://templum.com.br/ebook-certificacao-iso-para-empresarios/,2026-02-08
https://templum.com.br/webinars/?utm_source=Blog&utm_medium=botao-aovivo&_ga=2.191117033.219343784.1558954870-549924623.1554827070&_gac=1.183441748.1558985922.Cj0KCQjwla7nBRDxARIsADll0kBxPFQrMq6JWJGt3pPA1yb-7LXnC-r-nNVz-XbYRBJGCVl5_G_Cj98aAoWkEALw_wcB,2026-02-08
https://templum.com.br/norma/sassmaq/,2026-02-06
https://templum.com.br/cursos/contexto-da-,2026-02-06
https://templum.com.br/author/gui/,2026-02-06
https://templum.com.br/segmento/iso-14001/,2026-02-05
https://templum.com.br/precos-2?utm_source=Blog&utm_medium=botao-proposta,2026-02-05
https://templum.com.br/norma/iso-14001/,2026-02-05
https://templum.com.br/consultoria-iso45001/?PageSpeed=noscript,2026-02-04
https://templum.com.br/iso-45001,2026-02-04
https://templum.com.br/iso-14001,2026-02-03
https://templum.com.br/sucesso-solicitacao-consultoria/,2026-02-03
https://templum.com.br/portfolio/estudo-de-caso-cliente-annasil-pbqp-h/?utm_campaign=pbqph&utm_source=Blog&utm_medium=banner-%5Bpage_title%5D,2026-02-03
https://templum.com.br/iso-22000/?_ga=2.245913092.105759568.1556536811-549924623.1554827070,2026-02-03
https://templum.com.br/fssc-22000/?utm_source=blog&utm_medium=organico&utm_campaign=nova_versao_fssc_22000&utm_term=cta,2026-02-03
https://templum.com.br/fssc-seguranca-dos-alimentos/?utm_source=blog&utm_medium=menu-navegacao,2026-02-02
https://templum.com.br/pbqp-h/?_ga=1.181682855.1664903652.1479407109,2026-02-02
https://templum.com.br/sassmaq-consultoria-completa/?utm_source=linkedin&utm_medium=organico&utm_campaign=post-o-que-minha-transportadora-ganha&utm_term=cta,2026-02-02
https://templum.com.br/sucesso-solicitacao-consultoria-planejamento-estrategico/,2026-02-01
https://templum.com.br/norma/iso-14001/feed/,2026-01-31
"https://templum.com.br/sassmaq-consultoria/?utm_source=blog&utm_medium=banner-Certifica%C3%A7%C3%A3o 
ISO e Gest%C3%A3o da Qualidade&PageSpeed=noscript",2026-01-29
https://templum.com.br/haccp/?utm_source=blog&utm_medium=menu,2026-01-26
https://templum.com.br/iso-22000/?PageSpeed=noscript,2026-01-24
"https://templum.com.br/iso-45001/?utm_source=Blog&utm_medium=banner-Custos 
indiretos de acidentes e doen%C3%A7as do trabalho",2026-01-23
"https://templum.com.br/sassmaq-consultoria-completa/?utm_source=blog&utm_medium=banner-Certifica%C3%A7%C3%A3o 
ISO e Gest%C3%A3o da Qualidade",2026-01-23
https://templum.com.br/consultoria-iso45001/?_ga=2.260744397.1141259880.1560771014-549924623.1554827070&_gac=1.263207550.1558985922.Cj0KCQjwla7nBRDxARIsADll0kBxPFQrMq6JWJGt3pPA1yb-7LXnC-r-nNVz-XbYRBJGCVl5_G_Cj98aAoWkEALw_wcB,2026-01-23
https://templum.com.br/esg-consultoria/,2026-01-22
https://templum.com.br/fssc-22000/?utm_source=blog&utm_medium=menu,2026-01-21
https://templum.com.br/fssc-22000/?utm_source=blog&utm_medium=menu-navegacao,2026-01-21
https://templum.com.br/sassmaq-consultoria-completa/?utm_source=blog&utm_medium=menu-navegacao,2026-01-21
https://templum.com.br/cursos/interpretacao-pratica-dos-requisitos-da-iso-90012015/,2026-01-21
https://templum.com.br/esg/,2026-01-21
https://templum.com.br/iso-45001/?utm_source=blog&utm_medium=menu,2026-01-20
https://templum.com.br/esg/?utm_source=blog&utm_medium=menu-navegacao,2026-01-20
https://templum.com.br/esg/?utm_source=blog&utm_medium=menu,2026-01-20
https://templum.com.br/consultoria/geric-2?utm_source=blog&utm_medium=menu-footer,2026-01-20
https://templum.com.br/consultoria/geric-2,2026-01-20
https://templum.com.br/iso-45001/?utm_source=blog&utm_medium=menu-navegacao,2026-01-20
https://templum.com.br/iso-45001/?utm_source=blog&utm_medium=menu-footer,2026-01-20
https://templum.com.br/e-book-entendendo-as-novidades-iso-45001-vs-ohsas-18001/,2026-01-20
https://templum.com.br/iso-45001-consultoria-completa,2026-01-20
https://templum.com.br/consultoria-iso-56002/,2026-01-19
"https://templum.com.br/iso-14001/?utm_source=Blog&utm_medium=banner-Classifica%C3%A7%C3%A3o 
dos res%C3%ADduos s%C3%B3lidos",2026-01-19
https://templum.com.br/e-book-iso-14001-2015-o-que-vai-mudar-e-qual-e-o-impacto-na-sua-organizacao/,2026-01-19
"https://templum.com.br/iso-14001/?utm_source=Blog&utm_medium=banner-O que 
%C3%A9 a ISO 14001",2026-01-19
https://templum.com.br/fssc-22000,2026-01-19
https://templum.com.br/iso-45001/,2026-01-19
https://templum.com.br/geric/,2026-01-19
https://templum.com.br/sobre?wordfence_lh=1&hid=BE6AFAFDA993C5431136927B4EE99EC9,2026-01-18
https://templum.com.br/consultoria-iso27001/,2026-01-18
https://templum.com.br/iso-9001-consultoria-completa,2026-01-18
https://templum.com.br/sassmaq-consultoria/,2026-01-18
https://templum.com.br/sassmaq-consultoria-completa/?utm_source=blog&utm_medium=menu-footer,2026-01-18
https://templum.com.br/sgi//,2026-01-18
https://templum.com.br/iso-14001/?utm_source=blog&utm_medium=menu,2026-01-18
https://templum.com.br/iso-14001/?utm_source=blog&utm_medium=menu-navegacao,2026-01-18
https://templum.com.br/iso-45001/?utm_source=blog&utm_medium=banner,2026-01-17
https://templum.com.br/consultoria-iso45001/?utm_source=blog&utm_medium=menu-navegacao,2026-01-17
https://templum.com.br/sgi/?utm_source=blog&utm_medium=menu-navegacao,2026-01-17
https://templum.com.br/sgi/?utm_source=blog&utm_medium=menu,2026-01-17
https://templum.com.br/sgi/,2026-01-17
https://templum.com.br/sgi,2026-01-17
https://templum.com.br/iso-9001-consultoria-completa/,2026-01-17
https://templum.com.br/iso-14001-consultoria-completa/,2026-01-17
https://templum.com.br/fssc-22000/?utm_source=Blog&utm_medium=banner-%5Bpage_title%5D,2026-01-17
https://templum.com.br/consultoria-sassmaq/,2026-01-16
https://templum.com.br/universidade-templum/?_sfm_tipo_curso=E-book,2026-01-16
https://templum.com.br/como-funciona,2026-01-16
https://templum.com.br/iso-9001-consultoria-,2026-01-15
https://templum.com.br/consultoria-pbqp-h?utm_source=blog&utm_medium=banner,2026-01-15
https://templum.com.br/ab/iso-9001-v1-b,2026-01-13
https://templum.com.br/tecnologias-para-aumentar-a-produtividade/,2026-01-12
https://templum.com.br/sobre?wordfence_lh=1&hid=C933F93B71F335D6D102AF763375D70E,2026-01-11
https://templum.com.br/pbqp-h-consultoria-completa-a//iso-9001-consultoria-completa/?utm_source=blog&utm_medium=menu-footer,2026-01-10
https://templum.com.br/consultoria/consultoria/pqta/,2026-01-10
https://templum.com.br/iso-9001//?_ga=2.14879222.1141259880.1560771014-549924623.1554827070&_gac=1.215431781.1558985922.Cj0KCQjwla7nBRDxARIsADll0kBxPFQrMq6JWJGt3pPA1yb-7LXnC-r-nNVz-XbYRBJGCVl5_G_Cj98aAoWkEALw_wcB,2026-01-04
https://templum.com.br/portfolio/por-que-implantar-o-sistema-de-gestao-de-sso/,2026-01-01
https://templum.com.br/freemium-9001/,2026-01-01
https://templum.com.br/consultoria/pbqp-hutm_source=blog&utm_medium=organic&utm_campaign=artigo_minha_casa_minha_vida,2025-12-26
https://templum.com.br/sucesso-solicitacao-consultoria-iso-14001/,2025-12-25
https://templum.com.br/sobre?_ga=2.189883627.1141259880.1560771014-549924623.1554827070&_gac=1.155130314.1558985922.Cj0KCQjwla7nBRDxARIsADll0kBxPFQrMq6JWJGt3pPA1yb-7LXnC-r-nNVz-XbYRBJGCVl5_G_Cj98aAoWkEALw_wcB,2025-12-15
https://templum.com.br/ao-vivo-agora/,2025-12-15
